elapsed_days,departure_time_unix,arrival_time_unix,duration_in_seconds,total_distance,duration_hours,duration_minutes,departure_year,departure_month,departure_day,departure_hour,departure_minute,departure_second,departure_timezone,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,arrival_second,arrival_timezone,flight_id
0,1656241260,1656246240,4980,327,1,43,2022,6,26,7,1,0,4.0,2022,6,26,8,24,0,4.0,13688
0,1656255300,1656269040,13740,1380,4,30,2022,6,26,10,55,0,4.0,2022,6,26,13,44,0,5.0,13689
0,1656272820,1656280140,7320,650,2,23,2022,6,26,14,47,0,5.0,2022,6,26,15,49,0,6.0,13690
0,1656282600,1656287460,4860,280,1,21,2022,6,26,18,30,0,4.0,2022,6,26,19,51,0,4.0,13691
0,1656349920,1656357540,7620,693,2,50,2022,6,27,12,12,0,5.0,2022,6,27,13,19,0,6.0,13692
0,1656331500,1656343320,11820,1122,4,23,2022,6,27,8,5,0,4.0,2022,6,27,10,22,0,5.0,13693
0,1656330840,1656340200,9360,930,2,36,2022,6,27,6,54,0,5.0,2022,6,27,10,30,0,4.0,13694
0,1656372360,1656382560,10200,1017,3,43,2022,6,27,19,26,0,4.0,2022,6,27,21,16,0,5.0,13695
0,1656434820,1656441780,6960,650,2,41,2022,6,28,10,47,0,6.0,2022,6,28,13,43,0,5.0,13696
0,1656448320,1656457860,9540,995,3,42,2022,6,28,15,32,0,5.0,2022,6,28,19,11,0,4.0,13697
0,1656460500,1656469260,8760,762,2,26,2022,6,28,19,55,0,4.0,2022,6,28,22,21,0,4.0,13698
0,1656452760,1656463200,10440,1050,4,43,2022,6,28,14,46,0,7.0,2022,6,28,19,40,0,5.0,13699
0,1656447420,1656456180,8760,672,2,26,2022,6,28,16,17,0,4.0,2022,6,28,17,43,0,5.0,13700
0,1656521880,1656527160,5280,370,1,34,2022,6,29,9,58,0,7.0,2022,6,29,11,26,0,7.0,13701
0,1656550200,1656557880,7680,545,2,8,2022,6,29,20,50,0,4.0,2022,6,29,22,58,0,4.0,13702
0,1656513000,1656519900,6900,600,2,43,2022,6,29,9,30,0,5.0,2022,6,29,12,25,0,4.0,13703
0,1656590400,1656600780,10380,1207,3,58,2022,6,30,6,0,0,6.0,2022,6,30,10,53,0,4.0,13704
0,1656608700,1656628200,19500,2225,8,13,2022,6,30,13,5,0,4.0,2022,6,30,15,30,0,7.0,13705
0,1656640740,1656645420,4680,241,1,58,2022,6,30,18,59,0,7.0,2022,6,30,20,17,0,7.0,13706
0,1656609900,1656624900,15000,1745,4,10,2022,6,30,10,25,0,7.0,2022,6,30,16,35,0,5.0,13707
0,1656611580,1656616740,5160,280,1,50,2022,6,30,13,53,0,4.0,2022,6,30,15,19,0,4.0,13708
0,1656601020,1656608100,7080,672,2,31,2022,6,30,9,57,0,5.0,2022,6,30,12,55,0,4.0,13709
0,1656691920,1656706800,14880,1763,4,8,2022,7,1,10,12,0,6.0,2022,7,1,16,20,0,4.0,13710
0,1656705600,1656727140,21540,2458,5,59,2022,7,1,16,0,0,4.0,2022,7,1,18,59,0,7.0,13711
0,1656696000,1656708600,12600,1380,4,6,2022,7,1,12,20,0,5.0,2022,7,1,16,50,0,4.0,13712
0,1656681000,1656691920,10920,1193,3,33,2022,7,1,6,10,0,7.0,2022,7,1,11,12,0,5.0,13713
0,1656801840,1656811320,9480,943,2,38,2022,7,2,16,44,0,6.0,2022,7,2,18,22,0,7.0,13714
0,1656764100,1656770700,6600,541,2,17,2022,7,2,8,15,0,4.0,2022,7,2,10,5,0,4.0,13715
0,1656756000,1656768120,12120,1104,3,22,2022,7,2,6,0,0,4.0,2022,7,2,9,22,0,4.0,13716
0,1656842400,1656848880,6480,406,2,28,2022,7,3,6,0,0,4.0,2022,7,3,7,48,0,4.0,13717
0,1656854400,1656861900,7500,725,2,47,2022,7,3,8,20,0,5.0,2022,7,3,11,25,0,4.0,13718
0,1656867000,1656874440,7440,667,2,46,2022,7,3,12,50,0,4.0,2022,7,3,14,54,0,4.0,13719
0,1656887400,1656898680,11280,1104,3,8,2022,7,3,18,30,0,4.0,2022,7,3,21,38,0,4.0,13720
0,1656847200,1656855360,8160,652,2,16,2022,7,3,7,20,0,4.0,2022,7,3,9,36,0,4.0,13721
0,1656887520,1656896160,8640,672,2,24,2022,7,3,18,32,0,4.0,2022,7,3,19,56,0,5.0,13722
0,1656973920,1656982560,8640,672,4,48,2022,7,4,18,32,0,4.0,2022,7,4,19,56,0,5.0,13723
0,1656954000,1656959640,5640,280,3,8,2022,7,4,13,0,0,4.0,2022,7,4,14,34,0,4.0,13724
0,1656948600,1656959280,10680,1115,2,58,2022,7,4,10,30,0,5.0,2022,7,4,14,28,0,4.0,13725
0,1656953940,1656965220,11280,1104,3,8,2022,7,4,12,59,0,4.0,2022,7,4,16,7,0,4.0,13726
0,1657034520,1657045440,10920,1177,4,58,2022,7,5,10,22,0,5.0,2022,7,5,14,24,0,4.0,13727
0,1657056000,1657061640,5640,327,2,33,2022,7,5,17,20,0,4.0,2022,7,5,18,54,0,4.0,13728
0,1657068000,1657075620,7620,592,3,1,2022,7,5,20,40,0,4.0,2022,7,5,21,47,0,5.0,13729
0,1657027800,1657035240,7440,720,2,4,2022,7,5,8,30,0,5.0,2022,7,5,11,34,0,4.0,13730
1,1657160700,1657175160,14460,1587,9,18,2022,7,6,22,25,0,4.0,2022,7,7,0,26,0,6.0,13731
0,1657154700,1657162680,7980,728,6,3,2022,7,6,20,45,0,4.0,2022,7,6,22,58,0,4.0,13732
0,1657133400,1657146240,12840,1534,5,4,2022,7,6,11,50,0,7.0,2022,7,6,17,24,0,5.0,13733
0,1657155540,1657164720,9180,978,3,37,2022,7,6,19,59,0,5.0,2022,7,6,23,32,0,4.0,13734
0,1657105200,1657113660,8460,862,2,21,2022,7,6,6,0,0,5.0,2022,7,6,9,21,0,4.0,13735
0,1657143000,1657150800,7800,679,2,28,2022,7,6,14,30,0,7.0,2022,7,6,16,40,0,7.0,13736
0,1657206000,1657215600,9600,720,3,1,2022,7,7,11,0,0,4.0,2022,7,7,12,40,0,5.0,13737
0,1657218000,1657226340,8340,862,2,37,2022,7,7,13,20,0,5.0,2022,7,7,16,39,0,4.0,13738
1,1657245420,1657250760,5340,370,2,8,2022,7,7,18,57,0,7.0,2022,7,7,20,26,0,7.0,13739
1,1657260600,1657277700,17100,2139,6,49,2022,7,7,23,10,0,7.0,2022,7,8,6,55,0,4.0,13740
0,1657204800,1657225800,21000,2566,7,51,2022,7,7,7,40,0,7.0,2022,7,7,16,30,0,4.0,13741
0,1657318020,1657324740,6720,545,2,14,2022,7,8,18,7,0,4.0,2022,7,8,19,59,0,4.0,13742
0,1657308480,1657315320,6840,505,2,16,2022,7,8,15,28,0,4.0,2022,7,8,17,22,0,4.0,13743
0,1657288200,1657299120,10920,1104,3,2,2022,7,8,9,50,0,4.0,2022,7,8,12,52,0,4.0,13744
0,1657294800,1657307880,13080,1497,4,1,2022,7,8,8,40,0,7.0,2022,7,8,14,18,0,5.0,13745
0,1657310220,1657318440,8220,811,2,32,2022,7,8,14,57,0,5.0,2022,7,8,18,14,0,4.0,13746
0,1657409400,1657423140,13740,1380,6,58,2022,7,9,19,30,0,4.0,2022,7,9,22,19,0,5.0,13747
