Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,airport_id
Sohag International Airport,Sohag,Egypt,HMB,HEMK,26.342778000000003,31.742778,310,2.0,E,Africa/Cairo,airport,6026
Presidente General Don Oscar D. Gestido International Airport,Rivera,Uruguay,RVY,SURV,-30.97459983825684,-55.47620010375977,712,-3.0,S,America/Montevideo,airport,6027
Patos de Minas Airport,Patos de Minas,Brazil,POJ,SNPD,-18.672800064086918,-46.4911994934082,2793,-3.0,S,America/Sao_Paulo,airport,6028
Bauru - Arealva Airport,Bauru,Brazil,JTC,SJTC,-22.1668591409,-49.0502866745,1949,-3.0,S,America/Sao_Paulo,airport,6029
Ourilândia do Norte Airport,Ourilandia do Norte,Brazil,OIA,SDOW,-6.763100147250001,-51.0499000549,901,-3.0,S,America/Belem,airport,6030
Redenção Airport,Redencao,Brazil,RDC,SNDC,-8.033289909362793,-49.97990036010742,670,-3.0,S,America/Belem,airport,6031
São Félix do Xingu Airport,Sao Felix do Xingu,Brazil,SXX,SNFX,-6.6413,-51.9523,656,-3.0,S,America/Belem,airport,6032
Bonito Airport,Bointo,Brazil,BYO,SJDB,-21.247299,-56.452499,1180,-4.0,S,America/Campo_Grande,airport,6033
São Félix do Araguaia Airport,Sao Felix do Araguaia,Brazil,SXO,SWFX,-11.632399559020994,-50.68960189819336,650,-4.0,S,America/Campo_Grande,airport,6034
Caçador Airport,Cacador,Brazil,CFC,SBCD,-26.78840065,-50.9398002625,3376,-3.0,S,America/Sao_Paulo,airport,6035
Carauari Airport,Carauari,Brazil,CAF,SWCA,-4.871520042419434,-66.89749908447266,355,-4.0,S,America/Boa_Vista,airport,6036
Urucu Airport,Porto Urucu,Brazil,\N,SWUY,-4.88422012329,-65.3554000854,243,-4.0,S,America/Boa_Vista,airport,6037
Eirunepé Airport,Eirunepe,Brazil,ERN,SWEI,-6.639530181884767,-69.87979888916016,412,-4.0,S,America/Boa_Vista,airport,6038
Concórdia Airport,Concordia,Brazil,CCI,SSCK,-27.180599212646484,-52.05270004272461,2461,-3.0,S,America/Sao_Paulo,airport,6039
Francisco Beltrão Airport,Francisco Beltrao,Brazil,FBE,SSFB,-26.059200286865234,-53.0634994506836,2100,-3.0,S,America/Sao_Paulo,airport,6040
Confresa Airport,Confresa,Brazil,CFO,SJHG,-10.634400367736816,-51.5635986328125,781,-4.0,S,America/Campo_Grande,airport,6041
Apalachicola Regional Airport,Apalachicola,United States,AAF,KAAF,29.72750092,-85.02749634,20,-5.0,A,America/New_York,airport,6042
Umuarama Airport,Umuarama,Brazil,UMU,SSUM,-23.7987003326416,-53.31380081176758,1558,-3.0,S,America/Sao_Paulo,airport,6043
Diamantina Airport,Diamantina,Brazil,DTI,SNDT,-18.232000351,-43.6503982544,4446,-3.0,S,America/Sao_Paulo,airport,6044
Fonte Boa Airport,Fonte Boa,Brazil,FBA,SWOB,-2.5326099395800004,-66.0831985474,207,-4.0,S,America/Boa_Vista,airport,6045
Senadora Eunice Micheles Airport,Sao Paulo de Olivenca,Brazil,OLC,SDCG,-3.46792950765,-68.9204120636,335,-4.0,S,America/Boa_Vista,airport,6046
Humaitá Airport,Humaita,Brazil,HUW,SWHT,-7.532120227810001,-63.072101593,230,-4.0,S,America/Boa_Vista,airport,6047
Tapuruquara Airport,Santa Isabel do Rio Negro,Brazil,IRZ,SWTP,-0.3786,-64.9923,223,-4.0,S,America/Boa_Vista,airport,6048
Oriximiná Airport,Oriximina,Brazil,ORX,SNOX,-1.714079976081848,-55.83620071411133,262,-3.0,S,America/Belem,airport,6049
Hotel Transamérica Airport,Una,Brazil,UNA,SBTC,-15.3551998138,-38.9990005493,20,-3.0,S,America/Fortaleza,airport,6050
Telfer Airport,Telfer,Australia,TEF,YTEF,-21.71500015258789,122.22899627685548,970,8.0,N,Australia/Perth,airport,6051
Gazipaşa Airport,Alanya,Turkey,GZP,LTGP,36.299217,32.300598,86,3.0,E,Europe/Istanbul,airport,6052
Shank Air Base,Shank,Afghanistan,OAA,OASH,33.9225,69.07722222219999,6890,4.5,N,Asia/Kabul,airport,6053
